adduser	3.118ubuntu2
libopencv-dnn-dev:amd64	4.2.0+dfsg-5
libopencv-dnn4.2:amd64	4.2.0+dfsg-5
libopencv-features2d-dev:amd64	4.2.0+dfsg-5
libopencv-features2d4.2:amd64	4.2.0+dfsg-5
libopencv-flann-dev:amd64	4.2.0+dfsg-5
libopencv-flann4.2:amd64	4.2.0+dfsg-5
libopencv-highgui-dev:amd64	4.2.0+dfsg-5
libopencv-highgui4.2:amd64	4.2.0+dfsg-5
libopencv-imgcodecs-dev:amd64	4.2.0+dfsg-5
libopencv-imgcodecs4.2:amd64	4.2.0+dfsg-5
libopencv-imgproc-dev:amd64	4.2.0+dfsg-5
libopencv-imgproc4.2:amd64	4.2.0+dfsg-5
libopencv-ml-dev:amd64	4.2.0+dfsg-5
libopencv-ml4.2:amd64	4.2.0+dfsg-5
libopencv-objdetect-dev:amd64	4.2.0+dfsg-5
libopencv-objdetect4.2:amd64	4.2.0+dfsg-5
libopencv-photo-dev:amd64	4.2.0+dfsg-5
libopencv-photo4.2:amd64	4.2.0+dfsg-5
libopencv-shape-dev:amd64	4.2.0+dfsg-5
libopencv-shape4.2:amd64	4.2.0+dfsg-5
libopencv-stitching-dev:amd64	4.2.0+dfsg-5
libopencv-stitching4.2:amd64	4.2.0+dfsg-5
libopencv-superres-dev:amd64	4.2.0+dfsg-5
libopencv-superres4.2:amd64	4.2.0+dfsg-5
libopencv-ts-dev:amd64	4.2.0+dfsg-5
libopencv-video-dev:amd64	4.2.0+dfsg-5
libopencv-video4.2:amd64	4.2.0+dfsg-5
libopencv-videoio-dev:amd64	4.2.0+dfsg-5
libopencv-videoio4.2:amd64	4.2.0+dfsg-5
libopencv-videostab-dev:amd64	4.2.0+dfsg-5
libopencv-videostab4.2:amd64	4.2.0+dfsg-5
libopencv-viz-dev:amd64	4.2.0+dfsg-5
libopencv-viz4.2:amd64	4.2.0+dfsg-5
libopencv4.2-java	4.2.0+dfsg-5
libopencv4.2-jni	4.2.0+dfsg-5
libopenexr-dev	2.3.0-6ubuntu0.5
libopenexr24:amd64	2.3.0-6ubuntu0.5
libopengl-dev:amd64	1.3.2-1~ubuntu0.20.04.2
libopengl0:amd64	1.3.2-1~ubuntu0.20.04.2
libopenjp2-7:amd64	2.3.1-1ubuntu4.20.04.4
libopenjp2-7-dev	2.3.1-1ubuntu4.20.04.4
libopenmpi-dev:amd64	4.0.3-0ubuntu1
libopenmpi3:amd64	4.0.3-0ubuntu1
libopenmpt0:amd64	0.4.11-1build1
libopenni-dev	1.5.4.0+dfsg-4build1
libopenni0	1.5.4.0+dfsg-4build1
libopenni2-0	2.2.0.33+dfsg-13build1
libopenni2-dev	2.2.0.33+dfsg-13build1
libopus0:amd64	1.3.1-0ubuntu1
liborc-0.4-0:amd64	1:0.4.31-1ubuntu0.1
libp11-kit0:amd64	0.23.20-1ubuntu0.1
libpackagekit-glib2-18:amd64	1.1.13-2ubuntu1.1
libpam-cap:amd64	1:2.32-1ubuntu0.2
libpam-modules:amd64	1.3.1-5ubuntu4.7
libpam-modules-bin	1.3.1-5ubuntu4.7
libpam-runtime	1.3.1-5ubuntu4.7
libpam-systemd:amd64	245.4-4ubuntu3.24
libpam0g:amd64	1.3.1-5ubuntu4.7
libpango-1.0-0:amd64	1.44.7-2ubuntu4
libpangocairo-1.0-0:amd64	1.44.7-2ubuntu4
libpangoft2-1.0-0:amd64	1.44.7-2ubuntu4
libparted2:amd64	3.3-4ubuntu0.20.04.1
libpathplan4:amd64	2.42.2-3build2
libpcap0.8:amd64	1.9.1-3ubuntu1.20.04.1
libpciaccess0:amd64	0.16-0ubuntu1
libpcl-apps1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-common1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-dev	1.10.0+dfsg-5ubuntu1
libpcl-features1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-filters1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-io1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-kdtree1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-keypoints1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-ml1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-octree1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-outofcore1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-people1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-recognition1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-registration1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-sample-consensus1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-search1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-segmentation1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-stereo1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-surface1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-tracking1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcl-visualization1.10:amd64	1.10.0+dfsg-5ubuntu1
libpcre16-3:amd64	2:8.39-12ubuntu0.1
libpcre2-16-0:amd64	10.34-7ubuntu0.1
libpcre2-8-0:amd64	10.34-7ubuntu0.1
libpcre3:amd64	2:8.39-12ubuntu0.1
libpcre3-dev:amd64	2:8.39-12ubuntu0.1
libpcre32-3:amd64	2:8.39-12ubuntu0.1
libpcrecpp0v5:amd64	2:8.39-12ubuntu0.1
libperl5.30:amd64	5.30.0-9ubuntu0.5
libpixman-1-0:amd64	0.38.4-0ubuntu2.1
libpmix2:amd64	3.1.5-1
libpng-dev:amd64	1.6.37-2
libpng16-16:amd64	1.6.37-2
libpolkit-gobject-1-0:amd64	0.105-26ubuntu1.3
libpoppler-dev:amd64	0.86.1-0ubuntu1.7
libpoppler-private-dev:amd64	0.86.1-0ubuntu1.7
libpoppler97:amd64	0.86.1-0ubuntu1.7
libpopt0:amd64	1.16-14
libpq-dev	12.22-0ubuntu0.20.04.4
libpq5:amd64	12.22-0ubuntu0.20.04.4
libprocps8:amd64	2:3.3.16-1ubuntu2.4
libproj-dev:amd64	6.3.1-1
libproj15:amd64	6.3.1-1
libprotobuf17:amd64	3.6.1.3-2ubuntu5.2
libproxy1v5:amd64	0.4.15-10ubuntu1.2
libpsl5:amd64	0.21.0-1ubuntu1
libpsm-infinipath1	3.3+20.604758e7-6
libpsm2-2	11.2.86-1
libpthread-stubs0-dev:amd64	0.4-1
libpython3-dev:amd64	3.8.2-0ubuntu2
libpython3-stdlib:amd64	3.8.2-0ubuntu2
libpython3.8:amd64	3.8.10-0ubuntu1~20.04.18
libpython3.8-dev:amd64	3.8.10-0ubuntu1~20.04.18
libpython3.8-minimal:amd64	3.8.10-0ubuntu1~20.04.18
libpython3.8-stdlib:amd64	3.8.10-0ubuntu1~20.04.18
libqhull-dev:amd64	2015.2-4
libqhull-r7:amd64	2015.2-4
libqhull7:amd64	2015.2-4
libqt5concurrent5:amd64	5.12.8+dfsg-0ubuntu2.1
libqt5core5a:amd64	5.12.8+dfsg-0ubuntu2.1
libqt5dbus5:amd64	5.12.8+dfsg-0ubuntu2.1
libqt5designer5:amd64	5.12.8-0ubuntu1
libqt5designercomponents5:amd64	5.12.8-0ubuntu1
libqt5gui5:amd64	5.12.8+dfsg-0ubuntu2.1
libqt5help5:amd64	5.12.8-0ubuntu1
libqt5network5:amd64	5.12.8+dfsg-0ubuntu2.1
libqt5opengl5:amd64	5.12.8+dfsg-0ubuntu2.1
libqt5opengl5-dev:amd64	5.12.8+dfsg-0ubuntu2.1
libqt5positioning5:amd64	5.12.8+dfsg-0ubuntu1
libqt5printsupport5:amd64	5.12.8+dfsg-0ubuntu2.1
libqt5qml5:amd64	5.12.8-0ubuntu1
libqt5quick5:amd64	5.12.8-0ubuntu1
libqt5quickparticles5:amd64	5.12.8-0ubuntu1
libqt5quickshapes5:amd64	5.12.8-0ubuntu1
libqt5quicktest5:amd64	5.12.8-0ubuntu1
libqt5quickwidgets5:amd64	5.12.8-0ubuntu1
libqt5sensors5:amd64	5.12.8-0ubuntu1
libqt5sql5:amd64	5.12.8+dfsg-0ubuntu2.1
libqt5sql5-sqlite:amd64	5.12.8+dfsg-0ubuntu2.1
libqt5test5:amd64	5.12.8+dfsg-0ubuntu2.1
libqt5webchannel5:amd64	5.12.8-0ubuntu1
libqt5webkit5:amd64	5.212.0~alpha4-1ubuntu2.1
libqt5webkit5-dev:amd64	5.212.0~alpha4-1ubuntu2.1
libqt5widgets5:amd64	5.12.8+dfsg-0ubuntu2.1
libqt5x11extras5:amd64	5.12.8-0ubuntu1
libqt5xml5:amd64	5.12.8+dfsg-0ubuntu2.1
libquadmath0:amd64	10.5.0-1ubuntu1~20.04
libraw1394-11:amd64	2.1.2-1
libraw1394-dev:amd64	2.1.2-1
librdmacm1:amd64	28.0-1ubuntu1
libreadline5:amd64	5.2+dfsg-3build3
libreadline8:amd64	8.0-4
librest-0.7-0:amd64	0.8.1-1
librhash0:amd64	1.3.9-1
libroken18-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
librsvg2-2:amd64	2.48.9-1ubuntu0.20.04.4
librsvg2-common:amd64	2.48.9-1ubuntu0.20.04.4
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build1
libsasl2-2:amd64	2.1.27+dfsg-2ubuntu0.1
libsasl2-modules:amd64	2.1.27+dfsg-2ubuntu0.1
libsasl2-modules-db:amd64	2.1.27+dfsg-2ubuntu0.1
libseccomp2:amd64	2.5.1-1ubuntu1~20.04.2
libselinux1:amd64	3.0-1build2
libsemanage-common	3.0-1build2
libsemanage1:amd64	3.0-1build2
libsensors-config	1:3.6.0-2ubuntu1.1
libsensors5:amd64	1:3.6.0-2ubuntu1.1
libsepol1:amd64	3.0-1ubuntu0.1
libsgutils2-2	1.44-1ubuntu2
libshine3:amd64	3.1.1-2
libsigsegv2:amd64	2.12-2
libsm-dev:amd64	2:1.2.3-1
libsm6:amd64	2:1.2.3-1
libsmartcols1:amd64	2.34-0.1ubuntu9.6
libsnappy1v5:amd64	1.1.8-1build1
libsocket++1:amd64	1.12.13-10build1
libsodium23:amd64	1.0.18-1
libsoup-gnome2.4-1:amd64	2.70.0-1ubuntu0.5
libsoup2.4-1:amd64	2.70.0-1ubuntu0.5
libsoxr0:amd64	0.1.3-2build1
libspatialite-dev:amd64	4.3.0a-6build1
libspatialite7:amd64	4.3.0a-6build1
libspdlog-dev	1:1.5.0-1
libspdlog1	1:1.5.0-1
libspeex1:amd64	1.2~rc1.2-1.1ubuntu1.20.04.1
libsqlite3-0:amd64	3.31.1-4ubuntu0.7
libsqlite3-dev:amd64	3.31.1-4ubuntu0.7
libss2:amd64	1.45.5-2ubuntu1.2
libssh-4:amd64	0.9.3-2ubuntu2.5
libssh-gcrypt-4:amd64	0.9.3-2ubuntu2.5
libssl-dev:amd64	1.1.1f-1ubuntu2.24
libssl1.1:amd64	1.1.1f-1ubuntu2.24
libstdc++-10-dev:amd64	10.5.0-1ubuntu1~20.04
libstdc++-9-dev:amd64	9.4.0-1ubuntu1~20.04.2
libstdc++6:amd64	10.5.0-1ubuntu1~20.04
libsuperlu-dev:amd64	5.2.1+dfsg1-4
libsuperlu5:amd64	5.2.1+dfsg1-4
libswresample-dev:amd64	7:4.2.7-0ubuntu0.1
libswresample3:amd64	7:4.2.7-0ubuntu0.1
libswscale-dev:amd64	7:4.2.7-0ubuntu0.1
libswscale5:amd64	7:4.2.7-0ubuntu0.1
libsystemd0:amd64	245.4-4ubuntu3.24
libsz2:amd64	1.0.4-1
libtasn1-6:amd64	4.16.0-2ubuntu0.1
libtbb-dev:amd64	2020.1-2
libtbb2:amd64	2020.1-2
libtcl8.6:amd64	8.6.10+dfsg-1
libtesseract4:amd64	4.1.1-2build2
libthai-data	0.1.28-3
libthai0:amd64	0.1.28-3
libtheora-dev:amd64	1.1.1+dfsg.1-15ubuntu2
libtheora0:amd64	1.1.1+dfsg.1-15ubuntu2
libtiff-dev:amd64	4.1.0+git191117-2ubuntu0.20.04.14
libtiff5:amd64	4.1.0+git191117-2ubuntu0.20.04.14
libtiffxx5:amd64	4.1.0+git191117-2ubuntu0.20.04.14
libtinfo6:amd64	6.2-0ubuntu2.1
libtinyxml-dev:amd64	2.6.2-4+deb10u2build0.20.04.1
libtinyxml2-6a:amd64	7.0.0+dfsg-1build1
libtinyxml2-dev:amd64	7.0.0+dfsg-1build1
libtinyxml2.6.2v5:amd64	2.6.2-4+deb10u2build0.20.04.1
libtk8.6:amd64	8.6.10-1
libtsan0:amd64	10.5.0-1ubuntu1~20.04
libtwolame0:amd64	0.4.0-2
libubsan1:amd64	10.5.0-1ubuntu1~20.04
libuchardet0:amd64	0.0.6-3build1
libudev1:amd64	245.4-4ubuntu3.24
libunistring2:amd64	0.9.10-2
liburiparser-dev	0.9.3-2
liburiparser1:amd64	0.9.3-2
libusb-1.0-0:amd64	2:1.0.23-2build1
libuuid1:amd64	2.34-0.1ubuntu9.6
libuv1:amd64	1.34.2-1ubuntu1.5
libva-drm2:amd64	2.7.0-2
libva-x11-2:amd64	2.7.0-2
libva2:amd64	2.7.0-2
libvdpau1:amd64	1.3-1ubuntu2
libvorbis0a:amd64	1.3.6-2ubuntu1
libvorbisenc2:amd64	1.3.6-2ubuntu1
libvorbisfile3:amd64	1.3.6-2ubuntu1
libvpx6:amd64	1.8.2-1ubuntu0.4
libvtk6.3	6.3.0+dfsg2-5build2
libvtk7-dev	7.1.1+dfsg2-2ubuntu1
libvtk7-java	7.1.1+dfsg2-2ubuntu1
libvtk7-jni	7.1.1+dfsg2-2ubuntu1
libvtk7-qt-dev	7.1.1+dfsg2-2ubuntu1
libvtk7.1p	7.1.1+dfsg2-2ubuntu1
libvtk7.1p-qt	7.1.1+dfsg2-2ubuntu1
libvulkan-dev:amd64	1.2.131.2-1
libvulkan1:amd64	1.2.131.2-1
libwacom-common	1.3-2ubuntu3
libwacom2:amd64	1.3-2ubuntu3
libwavpack1:amd64	5.2.0-1ubuntu0.1
libwayland-client0:amd64	1.18.0-1ubuntu0.1
libwayland-cursor0:amd64	1.18.0-1ubuntu0.1
libwayland-egl1:amd64	1.18.0-1ubuntu0.1
libwayland-server0:amd64	1.18.0-1ubuntu0.1
libwebp-dev:amd64	0.6.1-2ubuntu0.20.04.3
libwebp6:amd64	0.6.1-2ubuntu0.20.04.3
libwebpdemux2:amd64	0.6.1-2ubuntu0.20.04.3
libwebpmux3:amd64	0.6.1-2ubuntu0.20.04.3
libwind0-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libwoff1:amd64	1.0.2-1build2
libwrap0:amd64	7.6.q-30
libx11-6:amd64	2:1.6.9-2ubuntu1.6
libx11-data	2:1.6.9-2ubuntu1.6
libx11-dev:amd64	2:1.6.9-2ubuntu1.6
libx11-xcb1:amd64	2:1.6.9-2ubuntu1.6
libx264-155:amd64	2:0.155.2917+git0a84d98-2
libx265-179:amd64	3.2.1-1build1
libxau-dev:amd64	1:1.0.9-0ubuntu1
libxau6:amd64	1:1.0.9-0ubuntu1
libxaw7:amd64	2:1.0.13-1
libxcb-dri2-0:amd64	1.14-2
libxcb-dri3-0:amd64	1.14-2
libxcb-glx0:amd64	1.14-2
libxcb-icccm4:amd64	0.4.1-1.1
libxcb-image0:amd64	0.4.0-1build1
libxcb-keysyms1:amd64	0.4.0-1build1
libxcb-present0:amd64	1.14-2
libxcb-randr0:amd64	1.14-2
libxcb-render-util0:amd64	0.3.9-1build1
libxcb-render0:amd64	1.14-2
libxcb-shape0:amd64	1.14-2
libxcb-shm0:amd64	1.14-2
libxcb-sync1:amd64	1.14-2
libxcb-util1:amd64	0.4.0-0ubuntu3
libxcb-xfixes0:amd64	1.14-2
libxcb-xinerama0:amd64	1.14-2
libxcb-xinput0:amd64	1.14-2
libxcb-xkb1:amd64	1.14-2
libxcb1:amd64	1.14-2
libxcb1-dev:amd64	1.14-2
libxcomposite1:amd64	1:0.4.5-1
libxcursor1:amd64	1:1.2.0-2
libxdamage1:amd64	1:1.1.5-2
libxdmcp-dev:amd64	1:1.1.3-0ubuntu1
libxdmcp6:amd64	1:1.1.3-0ubuntu1
libxerces-c-dev	3.2.2+debian-1ubuntu0.2
libxerces-c3.2:amd64	3.2.2+debian-1ubuntu0.2
libxext-dev:amd64	2:1.3.4-0ubuntu1
libxext6:amd64	2:1.3.4-0ubuntu1
libxfixes3:amd64	1:5.0.3-2
libxft-dev:amd64	2.3.3-0ubuntu1
libxft2:amd64	2.3.3-0ubuntu1
libxi6:amd64	2:1.7.10-0ubuntu1
libxinerama1:amd64	2:1.1.4-2
libxkbcommon-x11-0:amd64	0.10.0-1
libxkbcommon0:amd64	0.10.0-1
libxml2:amd64	2.9.10+dfsg-5ubuntu0.20.04.10
libxml2-dev:amd64	2.9.10+dfsg-5ubuntu0.20.04.10
libxml2-utils	2.9.10+dfsg-5ubuntu0.20.04.10
libxmu6:amd64	2:1.1.3-0ubuntu1
libxnvctrl0:amd64	470.57.01-0ubuntu0.20.04.3
libxpm4:amd64	1:3.5.12-1ubuntu0.20.04.2
libxrandr2:amd64	2:1.5.2-0ubuntu1
libxrender-dev:amd64	1:0.9.10-1
libxrender1:amd64	1:0.9.10-1
libxshmfence1:amd64	1.3-1
libxslt1.1:amd64	1.1.34-4ubuntu0.20.04.3
libxss-dev:amd64	1:1.2.3-1
libxss1:amd64	1:1.2.3-1
libxt-dev:amd64	1:1.1.5-1
libxt6:amd64	1:1.1.5-1
libxtables12:amd64	1.8.4-3ubuntu2.1
libxvidcore4:amd64	2:1.3.7-1
libxxf86vm1:amd64	1:1.1.4-1build1
libyaml-0-2:amd64	0.2.2-1
libyaml-dev:amd64	0.2.2-1
libzstd-dev:amd64	1.4.4+dfsg-3ubuntu0.1
libzstd1:amd64	1.4.4+dfsg-3ubuntu0.1
libzvbi-common	0.2.35-17
libzvbi0:amd64	0.2.35-17
linux-base	4.5ubuntu3.7
linux-libc-dev:amd64	5.4.0-216.236
login	1:4.8.1-1ubuntu5.20.04.5
logsave	1.45.5-2ubuntu1.2
lsb-base	11.1.0ubuntu2
lsb-release	11.1.0ubuntu2
lvm2	2.03.07-1ubuntu1
lxd-agent-loader	0.4
lxd-installer	1
lz4	1.9.2-2ubuntu0.20.04.1
m4	1.4.18-4
make	4.2.1-1.2
mawk	1.3.4.20200120-2
mdadm	4.1-5ubuntu1.2
mime-support	3.64ubuntu1
motd-news-config	11ubuntu5.8
mount	2.34-0.1ubuntu9.6
mpi-default-bin	1.13
mpi-default-dev	1.13
mysql-common	5.8+1.0.5ubuntu2
ncurses-base	6.2-0ubuntu2.1
ncurses-bin	6.2-0ubuntu2.1
net-tools	1.60+git20180626.aebd88e-1ubuntu1.3
netbase	6.1
netcat-openbsd	1.206-1ubuntu1
netplan.io	0.104-0ubuntu2~20.04.6
networkd-dispatcher	2.1-2~ubuntu20.04.3
ocl-icd-libopencl1:amd64	2.2.11-1ubuntu1
odbcinst	2.3.6-0.1ubuntu0.1
odbcinst1debian2:amd64	2.3.6-0.1ubuntu0.1
open-iscsi	2.0.874-7.1ubuntu6.5
openmpi-bin	4.0.3-0ubuntu1
openmpi-common	4.0.3-0ubuntu1
openssh-client	1:8.2p1-4ubuntu0.13
openssh-server	1:8.2p1-4ubuntu0.13
openssh-sftp-server	1:8.2p1-4ubuntu0.13
openssl	1.1.1f-1ubuntu2.24
parted	3.3-4ubuntu0.20.04.1
passwd	1:4.8.1-1ubuntu5.20.04.5
patch	2.7.6-6
perl	5.30.0-9ubuntu0.5
perl-base	5.30.0-9ubuntu0.5
perl-modules-5.30	5.30.0-9ubuntu0.5
pinentry-curses	1.1.0-3build1
pkg-config	0.29.1-0ubuntu4
pollinate	4.33-3ubuntu1.20.04.2
procps	2:3.3.16-1ubuntu2.4
proj-data	6.3.1-1
pydocstyle	2.1.1-1
python-apt-common	2.0.1ubuntu0.20.04.1
python-pip-whl	20.0.2-5ubuntu1.11
python3	3.8.2-0ubuntu2
python3-apport	2.20.11-0ubuntu27.29
python3-apt	2.0.1ubuntu0.20.04.1
python3-argcomplete	1.8.1-1.3ubuntu1
python3-atomicwrites	1.1.5-2build1
python3-attr	19.3.0-2
python3-autobahn	17.10.1+dfsg1-6
python3-automat	0.8.0-1ubuntu1
python3-blinker	1.4+dfsg1-0.3ubuntu1
python3-catkin-pkg-modules	0.5.2-1
python3-cbor	1.0.0-1.1build1
python3-certifi	2019.11.28-1
python3-cffi-backend	1.14.0-1build1
python3-chardet	3.0.4-4build1
python3-colcon-argcomplete	0.3.3-1
python3-colcon-bash	0.4.2-1
python3-colcon-cd	0.1.1-1
python3-colcon-cmake	0.2.27-1
python3-colcon-common-extensions	0.3.0-1
python3-colcon-core	0.12.1-1
python3-colcon-defaults	0.2.8-1
python3-colcon-devtools	0.2.3-1
python3-colcon-library-path	0.2.1-1
python3-colcon-metadata	0.2.5-1
python3-colcon-notification	0.2.15-1
python3-colcon-output	0.2.13-1
python3-colcon-package-information	0.3.3-1
python3-colcon-package-selection	0.2.10-2
python3-colcon-parallel-executor	0.2.4-1
python3-colcon-pkg-config	0.1.0-1
python3-colcon-powershell	0.3.7-1
python3-colcon-python-setup-py	0.2.8-1
python3-colcon-recursive-crawl	0.2.1-1
python3-colcon-ros	0.3.23-1
python3-colcon-test-result	0.3.8-1
python3-colcon-zsh	0.4.0-1
python3-configobj	5.0.6-4ubuntu0.1
python3-constantly	15.1.0-1build1
python3-cryptography	2.8-3ubuntu0.3
python3-dateutil	2.7.3-3ubuntu1
python3-dbus	1.2.16-1build1
python3-debconf	1.5.73
python3-debian	0.1.36ubuntu1.1
python3-dev	3.8.2-0ubuntu2
python3-distlib	0.3.0-1
python3-distro	1.4.0-1
python3-distro-info	0.23ubuntu1.1
python3-distupgrade	1:20.04.41
python3-distutils	3.8.10-0ubuntu1~20.04
python3-docutils	0.16+dfsg-2
python3-empy	3.3.2-5.1
python3-entrypoints	0.3-2ubuntu1
python3-flake8	3.7.9-2
python3-gi	3.36.0-1
python3-hamcrest	1.9.0-3
python3-httplib2	0.14.0-1ubuntu1
python3-hyperlink	19.0.0-1
python3-idna	2.8-1ubuntu0.1
python3-ifcfg	0.18-2osrf~focal
python3-importlib-metadata	1.5.0-1
python3-incremental	16.10.1-3.2
python3-jinja2	2.10.1-2ubuntu0.6
python3-json-pointer	2.0-0ubuntu1
python3-jsonpatch	1.23-3
python3-jsonschema	3.2.0-0ubuntu2
python3-jwt	1.7.1-2ubuntu2.1
python3-keyring	18.0.1-2ubuntu1
python3-lark	0.8.1-1
python3-launchpadlib	1.10.13-1
python3-lazr.restfulclient	0.14.2-2build1
python3-lazr.uri	1.0.3-4build1
python3-lib2to3	3.8.10-0ubuntu1~20.04
python3-lxml:amd64	4.5.0-1ubuntu0.5
python3-lz4	3.0.2+dfsg-1build1
python3-markupsafe	1.1.0-1build2
python3-mccabe	0.6.1-3
python3-minimal	3.8.2-0ubuntu2
python3-mock	3.0.5-1build1
python3-more-itertools	4.2.0-1build1
python3-mpi4py	3.0.3-4build2
python3-nacl	1.3.0-5
python3-netifaces	0.10.4-1ubuntu4
python3-notify2	0.3-4
python3-numpy	1:1.17.4-5ubuntu3.1
python3-oauthlib	3.1.0-1ubuntu2
python3-opencv	4.2.0+dfsg-5
python3-openssl	19.0.0-1build1
python3-packaging	20.3-1
python3-pbr	5.4.5-0ubuntu1
python3-pexpect	4.6.0-1build1
python3-pip	20.0.2-5ubuntu1.11
python3-pkg-resources	45.2.0-1ubuntu0.3
python3-pluggy	0.13.0-2
python3-problem-report	2.20.11-0ubuntu27.29
python3-ptyprocess	0.6.0-1ubuntu1
python3-py	1.8.1-1ubuntu0.1
python3-pyasn1	0.4.2-3build1
python3-pyasn1-modules	0.2.1-0.2build1
python3-pycodestyle	2.5.0-2
python3-pydocstyle	2.1.1-1
python3-pyflakes	2.1.1-2ubuntu1
python3-pygments	2.3.1+dfsg-1ubuntu2.2
python3-pyparsing	2.4.6-1
python3-pyqrcode	1.2.1-4
python3-pyrsistent:amd64	0.15.5-1build1
python3-pytest	4.6.9-1
python3-requests	2.22.0-2ubuntu1.1
python3-requests-unixsocket	0.2.0-2
python3-roman	2.0.0-3build1
python3-rosdep	0.22.2-1
python3-rosdep-modules	0.22.2-1
python3-rosdistro-modules	0.9.0-1
python3-rospkg-modules	1.5.0-1
python3-secretstorage	2.3.1-2ubuntu1
python3-serial	3.4-5.1
python3-service-identity	18.1.0-5build1
python3-setuptools	45.2.0-1ubuntu0.3
python3-simplejson	3.16.0-2ubuntu2
python3-six	1.14.0-2
python3-snappy	0.5.3-1.1build1
python3-snowballstemmer	2.0.0-1
python3-systemd	234-3build2
python3-trie	0.2+ds-2
python3-twisted	18.9.0-11ubuntu0.20.04.5
python3-twisted-bin:amd64	18.9.0-11ubuntu0.20.04.5
python3-txaio	2.10.0-2
python3-u-msgpack	2.1-1build1
python3-ubjson	0.14.0-2build1
python3-update-manager	1:20.04.10.23
python3-urllib3	1.25.8-2ubuntu0.4
python3-vcstool	0.3.0-1
python3-vtk7	7.1.1+dfsg2-2ubuntu1
python3-wadllib	1.3.3-3build1
python3-wcwidth	0.1.8+dfsg1-3
python3-wheel	0.34.2-1ubuntu0.1
python3-wsaccel	0.6.2-2build1
python3-yaml	5.3.1-1ubuntu0.1
python3-zipp	1.0.0-1ubuntu0.1
python3-zope.interface	4.7.1-1
python3.8	3.8.10-0ubuntu1~20.04.18
python3.8-dev	3.8.10-0ubuntu1~20.04.18
python3.8-minimal	3.8.10-0ubuntu1~20.04.18
qdoc-qt5	5.12.8-0ubuntu1
qhelpgenerator-qt5	5.12.8-0ubuntu1
qt5-assistant	5.12.8-0ubuntu1
qt5-qmake:amd64	5.12.8+dfsg-0ubuntu2.1
qt5-qmake-bin	5.12.8+dfsg-0ubuntu2.1
qt5-qmltooling-plugins:amd64	5.12.8-0ubuntu1
qtattributionsscanner-qt5	5.12.8-0ubuntu1
qtbase5-dev:amd64	5.12.8+dfsg-0ubuntu2.1
qtbase5-dev-tools	5.12.8+dfsg-0ubuntu2.1
qtchooser	66-2build1
qtdeclarative5-dev:amd64	5.12.8-0ubuntu1
qtdeclarative5-dev-tools	5.12.8-0ubuntu1
qttools5-dev:amd64	5.12.8-0ubuntu1
qttools5-dev-tools	5.12.8-0ubuntu1
qttools5-private-dev:amd64	5.12.8-0ubuntu1
readline-common	8.0-4
ros-foxy-action-msgs	1.0.0-1focal.20230527.044538
ros-foxy-actionlib-msgs	2.0.5-1focal.20230527.050253
ros-foxy-ament-cmake	0.9.12-1focal.20230527.033726
ros-foxy-ament-cmake-auto	0.9.12-1focal.20230527.034119
ros-foxy-ament-cmake-copyright	0.9.8-1focal.20230527.034818
ros-foxy-ament-cmake-core	0.9.12-1focal.20230527.032458
ros-foxy-ament-cmake-cppcheck	0.9.8-1focal.20230527.034934
ros-foxy-ament-cmake-cpplint	0.9.8-1focal.20230527.035101
ros-foxy-ament-cmake-export-definitions	0.9.12-1focal.20230527.033021
ros-foxy-ament-cmake-export-dependencies	0.9.12-1focal.20230527.033513
ros-foxy-ament-cmake-export-include-directories	0.9.12-1focal.20230527.033159
ros-foxy-ament-cmake-export-interfaces	0.9.12-1focal.20230527.033435
ros-foxy-ament-cmake-export-libraries	0.9.12-1focal.20230527.033300
ros-foxy-ament-cmake-export-link-flags	0.9.12-1focal.20230527.033027
ros-foxy-ament-cmake-export-targets	0.9.12-1focal.20230527.033348
ros-foxy-ament-cmake-flake8	0.9.8-1focal.20230527.034934
ros-foxy-ament-cmake-gmock	0.9.12-1focal.20230527.033334
ros-foxy-ament-cmake-gtest	0.9.12-1focal.20230527.033233
ros-foxy-ament-cmake-include-directories	0.9.12-1focal.20230527.033241
